Food Name,Category,Calories (per 100g),Carbs (g),Fiber (g),Protein (g),Fat (g),GI Score,Diabetic-friendly (Yes/No),Common Dishes
Brown Rice,Whole Grain,148,18.2,3.4,17.0,6.9,High,No,Brown dish
Brown Rice,Whole Grain,31,64.2,6.4,6.3,28.2,High,No,Brown dish
Brown Rice,Whole Grain,491,42.9,4.1,32.1,31.9,Medium,No,Brown dish
Brown Rice,Whole Grain,111,26.3,14.5,6.2,15.4,Low,Yes,Brown dish
Brown Rice,Whole Grain,551,33.0,6.4,8.1,3.2,Low,Yes,Brown dish
Brown Rice,Whole Grain,30,62.9,1.0,15.4,28.0,Low,Yes,Brown dish
Brown Rice,Whole Grain,168,55.9,7.0,10.6,35.2,High,No,Brown dish
Brown Rice,Whole Grain,256,54.2,2.9,14.4,28.4,High,No,Brown dish
Brown Rice,Whole Grain,281,30.2,13.7,37.0,25.5,Low,Yes,Brown dish
Brown Rice,Whole Grain,337,59.2,11.6,32.4,48.7,Low,Yes,Brown dish
Brown Rice,Whole Grain,439,43.1,1.2,26.2,49.9,High,No,Brown dish
Brown Rice,Whole Grain,137,5.6,14.7,17.7,40.7,High,No,Brown dish
Brown Rice,Whole Grain,533,63.5,13.3,24.9,40.4,High,No,Brown dish
Brown Rice,Whole Grain,218,10.7,4.2,27.4,14.2,Medium,No,Brown dish
Brown Rice,Whole Grain,462,23.7,12.8,24.8,26.2,High,No,Brown dish
Brown Rice,Whole Grain,79,22.4,6.3,29.3,6.2,Medium,No,Brown dish
Brown Rice,Whole Grain,451,5.4,7.8,19.5,17.8,Low,Yes,Brown dish
Brown Rice,Whole Grain,438,39.3,14.6,28.6,16.3,High,No,Brown dish
Brown Rice,Whole Grain,206,4.1,11.8,5.8,44.8,Medium,No,Brown dish
Brown Rice,Whole Grain,462,28.2,2.7,7.2,1.9,Low,Yes,Brown dish
Brown Rice,Whole Grain,500,21.3,4.6,0.9,12.6,Low,Yes,Brown dish
Brown Rice,Whole Grain,304,31.9,2.1,32.4,4.6,Low,Yes,Brown dish
Brown Rice,Whole Grain,282,3.0,8.5,0.9,2.0,High,No,Brown dish
Brown Rice,Whole Grain,332,17.9,12.4,1.9,19.4,High,No,Brown dish
Brown Rice,Whole Grain,140,3.3,9.3,15.7,40.6,High,No,Brown dish
Brown Rice,Whole Grain,98,33.2,10.7,11.6,32.7,High,No,Brown dish
Brown Rice,Whole Grain,242,36.0,3.4,36.0,49.7,High,No,Brown dish
Brown Rice,Whole Grain,201,2.6,5.6,36.3,22.1,Medium,No,Brown dish
Brown Rice,Whole Grain,76,14.4,4.3,17.5,38.2,High,No,Brown dish
Brown Rice,Whole Grain,48,15.2,11.8,15.4,33.1,Medium,No,Brown dish
Brown Rice,Whole Grain,487,33.7,2.3,10.6,30.4,Medium,No,Brown dish
Brown Rice,Whole Grain,443,48.4,10.7,30.7,39.8,Medium,No,Brown dish
Brown Rice,Whole Grain,267,29.8,4.5,1.9,5.3,Medium,No,Brown dish
Brown Rice,Whole Grain,516,3.9,2.4,1.1,22.6,High,No,Brown dish
Brown Rice,Whole Grain,11,28.9,10.2,7.0,42.8,High,No,Brown dish
Brown Rice,Whole Grain,118,25.3,11.3,13.3,20.3,Low,Yes,Brown dish
Brown Rice,Whole Grain,454,31.1,5.2,31.4,4.9,Low,Yes,Brown dish
Brown Rice,Whole Grain,185,26.3,0.6,30.0,43.0,Low,Yes,Brown dish
Brown Rice,Whole Grain,568,35.0,9.9,31.6,29.8,High,No,Brown dish
Brown Rice,Whole Grain,486,67.6,0.6,9.6,11.0,Medium,No,Brown dish
Brown Rice,Whole Grain,446,22.6,11.7,30.3,35.8,Low,Yes,Brown dish
Brown Rice,Whole Grain,563,34.3,13.1,22.8,10.7,Medium,No,Brown dish
Brown Rice,Whole Grain,340,39.8,2.1,0.9,4.4,Medium,No,Brown dish
Brown Rice,Whole Grain,350,47.5,1.0,21.3,13.7,High,No,Brown dish
Brown Rice,Whole Grain,548,43.4,14.0,24.1,49.8,Low,Yes,Brown dish
Brown Rice,Whole Grain,178,6.1,12.0,19.6,17.3,Medium,No,Brown dish
Brown Rice,Whole Grain,138,23.7,8.3,38.8,5.5,High,No,Brown dish
Brown Rice,Whole Grain,516,36.2,1.4,27.0,40.2,High,No,Brown dish
Whole Wheat Roti,Whole Grain,165,47.9,8.6,29.8,2.4,Medium,No,Whole dish
Whole Wheat Roti,Whole Grain,24,63.4,0.8,13.4,20.3,High,No,Whole dish
Whole Wheat Roti,Whole Grain,176,38.1,0.4,32.5,13.1,High,No,Whole dish
Whole Wheat Roti,Whole Grain,300,51.4,14.1,3.2,39.7,Medium,No,Whole dish
Whole Wheat Roti,Whole Grain,61,28.6,9.4,4.0,18.4,High,No,Whole dish
Whole Wheat Roti,Whole Grain,300,66.2,11.2,31.7,24.2,Medium,No,Whole dish
Whole Wheat Roti,Whole Grain,263,35.6,13.8,38.2,20.1,High,No,Whole dish
Whole Wheat Roti,Whole Grain,106,21.2,6.7,24.9,1.8,High,No,Whole dish
Whole Wheat Roti,Whole Grain,440,29.5,3.1,37.8,2.6,High,No,Whole dish
Whole Wheat Roti,Whole Grain,135,10.8,8.0,1.1,12.1,Medium,No,Whole dish
Whole Wheat Roti,Whole Grain,150,43.9,12.3,28.9,39.1,High,No,Whole dish
Whole Wheat Roti,Whole Grain,369,35.3,11.6,23.7,33.5,High,No,Whole dish
Whole Wheat Roti,Whole Grain,386,31.3,11.4,36.3,49.7,Low,Yes,Whole dish
Whole Wheat Roti,Whole Grain,430,32.9,11.4,35.8,25.6,Low,Yes,Whole dish
Whole Wheat Roti,Whole Grain,592,29.5,0.9,26.4,43.9,High,No,Whole dish
Whole Wheat Roti,Whole Grain,146,16.1,5.6,25.1,37.7,Medium,No,Whole dish
Whole Wheat Roti,Whole Grain,517,18.3,0.2,15.3,6.9,High,No,Whole dish
Whole Wheat Roti,Whole Grain,554,56.6,14.0,7.7,6.2,High,No,Whole dish
Whole Wheat Roti,Whole Grain,518,62.0,14.4,7.1,5.9,High,No,Whole dish
Whole Wheat Roti,Whole Grain,280,25.3,8.5,10.3,7.4,Low,Yes,Whole dish
Whole Wheat Roti,Whole Grain,422,28.1,9.3,12.8,34.8,Low,Yes,Whole dish
Whole Wheat Roti,Whole Grain,166,11.3,11.6,26.6,15.2,High,No,Whole dish
Whole Wheat Roti,Whole Grain,291,38.2,12.7,28.4,44.0,Low,Yes,Whole dish
Whole Wheat Roti,Whole Grain,150,12.9,11.8,28.7,25.2,High,No,Whole dish
Whole Wheat Roti,Whole Grain,38,34.3,13.2,6.3,44.6,High,No,Whole dish
Whole Wheat Roti,Whole Grain,40,41.7,1.0,29.1,45.6,High,No,Whole dish
Whole Wheat Roti,Whole Grain,372,28.0,13.6,11.2,35.4,High,No,Whole dish
Whole Wheat Roti,Whole Grain,99,4.2,6.6,7.0,40.5,Medium,No,Whole dish
Whole Wheat Roti,Whole Grain,246,8.7,10.1,17.2,17.0,Low,Yes,Whole dish
Whole Wheat Roti,Whole Grain,277,2.5,13.7,14.3,49.1,Medium,No,Whole dish
Whole Wheat Roti,Whole Grain,177,23.6,3.6,5.3,7.6,High,No,Whole dish
Whole Wheat Roti,Whole Grain,233,36.8,3.0,22.0,30.2,Medium,No,Whole dish
Whole Wheat Roti,Whole Grain,126,50.8,3.6,17.9,0.5,High,No,Whole dish
Whole Wheat Roti,Whole Grain,30,5.0,8.2,10.0,33.5,High,No,Whole dish
Whole Wheat Roti,Whole Grain,258,61.0,0.9,13.5,47.3,High,No,Whole dish
Whole Wheat Roti,Whole Grain,304,11.7,14.7,30.8,42.7,High,No,Whole dish
Whole Wheat Roti,Whole Grain,361,7.3,2.0,19.4,2.8,High,No,Whole dish
Whole Wheat Roti,Whole Grain,580,32.4,2.8,35.2,29.9,High,No,Whole dish
Whole Wheat Roti,Whole Grain,96,41.1,3.1,3.0,39.0,Low,Yes,Whole dish
Whole Wheat Roti,Whole Grain,436,47.7,6.0,34.7,36.8,Low,Yes,Whole dish
Whole Wheat Roti,Whole Grain,566,38.5,4.2,2.6,46.9,High,No,Whole dish
Whole Wheat Roti,Whole Grain,229,62.1,6.4,11.3,11.6,High,No,Whole dish
Whole Wheat Roti,Whole Grain,567,31.3,2.2,11.2,21.2,Low,Yes,Whole dish
Whole Wheat Roti,Whole Grain,167,61.4,3.5,0.8,11.3,Low,Yes,Whole dish
Whole Wheat Roti,Whole Grain,394,11.3,3.3,9.1,43.9,High,No,Whole dish
Whole Wheat Roti,Whole Grain,490,63.8,9.6,27.3,49.0,Medium,No,Whole dish
Whole Wheat Roti,Whole Grain,443,33.0,14.3,19.4,46.6,Medium,No,Whole dish
Whole Wheat Roti,Whole Grain,436,53.5,4.0,3.1,2.5,Medium,No,Whole dish
Whole Wheat Roti,Whole Grain,20,52.6,3.1,26.9,7.3,Medium,No,Whole dish
Whole Wheat Roti,Whole Grain,482,43.2,8.9,24.7,36.3,Medium,No,Whole dish
Oats (Jav),Whole Grain,207,55.2,12.8,1.5,20.7,High,No,Oats dish
Oats (Jav),Whole Grain,145,50.5,9.7,24.9,34.4,Medium,No,Oats dish
Oats (Jav),Whole Grain,535,49.0,3.4,38.2,43.7,Medium,No,Oats dish
Oats (Jav),Whole Grain,248,54.2,14.9,17.1,8.8,Low,Yes,Oats dish
Oats (Jav),Whole Grain,181,38.8,14.9,30.5,33.6,Low,Yes,Oats dish
Oats (Jav),Whole Grain,368,27.6,10.7,9.2,10.1,High,No,Oats dish
Oats (Jav),Whole Grain,330,24.6,6.1,37.5,15.9,Medium,No,Oats dish
Oats (Jav),Whole Grain,522,18.1,9.5,27.9,22.7,High,No,Oats dish
Oats (Jav),Whole Grain,280,35.3,7.3,4.3,1.4,Low,Yes,Oats dish
Oats (Jav),Whole Grain,224,41.0,14.1,7.4,28.1,Medium,No,Oats dish
Oats (Jav),Whole Grain,294,15.3,5.6,7.3,27.7,Low,Yes,Oats dish
Oats (Jav),Whole Grain,88,32.6,0.5,2.0,32.4,Medium,No,Oats dish
Oats (Jav),Whole Grain,484,30.4,3.6,29.4,28.1,Medium,No,Oats dish
Oats (Jav),Whole Grain,498,49.7,5.9,20.4,5.2,Medium,No,Oats dish
Oats (Jav),Whole Grain,343,6.6,11.8,38.8,22.8,Medium,No,Oats dish
Oats (Jav),Whole Grain,581,19.1,5.5,18.2,23.2,Low,Yes,Oats dish
Oats (Jav),Whole Grain,586,36.5,6.8,22.8,0.4,High,No,Oats dish
Oats (Jav),Whole Grain,537,28.9,7.1,0.9,23.3,Medium,No,Oats dish
Oats (Jav),Whole Grain,305,4.6,2.6,2.3,19.9,Medium,No,Oats dish
Oats (Jav),Whole Grain,130,35.7,4.3,3.1,40.7,High,No,Oats dish
Oats (Jav),Whole Grain,364,5.8,6.7,27.5,32.3,Medium,No,Oats dish
Oats (Jav),Whole Grain,370,60.4,9.9,0.8,4.2,High,No,Oats dish
Oats (Jav),Whole Grain,267,4.1,2.3,13.9,11.1,Low,Yes,Oats dish
Oats (Jav),Whole Grain,522,18.6,10.1,22.5,14.4,High,No,Oats dish
Oats (Jav),Whole Grain,461,65.0,8.4,9.5,42.4,Low,Yes,Oats dish
Oats (Jav),Whole Grain,491,15.3,11.5,6.8,43.6,Low,Yes,Oats dish
Oats (Jav),Whole Grain,182,11.6,10.1,18.1,48.0,Medium,No,Oats dish
Oats (Jav),Whole Grain,54,52.3,4.7,13.6,8.9,High,No,Oats dish
Oats (Jav),Whole Grain,420,25.5,11.6,28.1,18.6,Low,Yes,Oats dish
Oats (Jav),Whole Grain,576,54.8,6.7,14.1,30.9,Medium,No,Oats dish
Oats (Jav),Whole Grain,435,66.9,0.8,19.4,27.6,Medium,No,Oats dish
Oats (Jav),Whole Grain,78,43.6,3.0,33.2,34.1,High,No,Oats dish
Oats (Jav),Whole Grain,367,66.4,12.1,16.8,49.9,High,No,Oats dish
Oats (Jav),Whole Grain,188,67.9,9.6,13.6,1.6,Medium,No,Oats dish
Oats (Jav),Whole Grain,513,12.0,0.4,29.5,24.9,Low,Yes,Oats dish
Oats (Jav),Whole Grain,86,15.4,8.0,11.9,19.7,High,No,Oats dish
Oats (Jav),Whole Grain,468,38.4,0.7,4.2,30.0,Low,Yes,Oats dish
Oats (Jav),Whole Grain,109,20.5,9.0,25.9,25.9,High,No,Oats dish
Oats (Jav),Whole Grain,300,63.2,4.5,14.4,8.6,Low,Yes,Oats dish
Oats (Jav),Whole Grain,600,22.0,7.6,3.0,43.4,High,No,Oats dish
Oats (Jav),Whole Grain,419,24.4,6.4,2.1,49.4,Medium,No,Oats dish
Oats (Jav),Whole Grain,382,61.8,3.8,4.4,42.4,Low,Yes,Oats dish
Oats (Jav),Whole Grain,32,56.9,6.5,33.4,26.4,Low,Yes,Oats dish
Oats (Jav),Whole Grain,208,35.2,11.3,1.8,31.4,High,No,Oats dish
Oats (Jav),Whole Grain,556,40.5,4.5,19.9,10.8,Medium,No,Oats dish
Oats (Jav),Whole Grain,349,20.7,2.2,23.0,17.8,Low,Yes,Oats dish
Oats (Jav),Whole Grain,540,38.9,10.8,7.3,35.7,High,No,Oats dish
Oats (Jav),Whole Grain,19,62.2,5.9,39.3,39.5,High,No,Oats dish
Oats (Jav),Whole Grain,375,46.3,12.0,36.6,10.0,Medium,No,Oats dish
Oats (Jav),Whole Grain,159,48.6,3.9,12.3,6.4,High,No,Oats dish
Barley,Whole Grain,84,36.7,3.6,16.4,1.2,Low,Yes,Barley dish
Barley,Whole Grain,314,15.2,1.5,3.3,33.2,High,No,Barley dish
Barley,Whole Grain,231,21.4,3.8,29.8,25.6,Medium,No,Barley dish
Barley,Whole Grain,520,5.5,3.4,2.1,12.5,Medium,No,Barley dish
Barley,Whole Grain,68,65.5,4.8,29.0,35.1,Low,Yes,Barley dish
Barley,Whole Grain,233,6.2,5.5,25.2,45.5,Medium,No,Barley dish
Barley,Whole Grain,209,3.7,11.3,4.2,48.5,Low,Yes,Barley dish
Barley,Whole Grain,250,3.5,7.4,30.2,42.4,High,No,Barley dish
Barley,Whole Grain,559,40.1,8.7,19.6,12.5,Medium,No,Barley dish
Barley,Whole Grain,324,21.8,2.7,8.3,39.5,Low,Yes,Barley dish
Barley,Whole Grain,57,36.2,8.6,11.0,11.5,Medium,No,Barley dish
Barley,Whole Grain,301,15.2,3.3,9.6,7.6,High,No,Barley dish
Barley,Whole Grain,134,20.7,13.2,27.0,9.3,Medium,No,Barley dish
Barley,Whole Grain,386,47.4,1.4,26.7,35.6,High,No,Barley dish
Barley,Whole Grain,152,63.5,2.9,17.3,12.3,Low,Yes,Barley dish
Barley,Whole Grain,240,68.2,1.5,6.6,39.3,High,No,Barley dish
Barley,Whole Grain,107,48.7,4.9,20.3,49.9,Medium,No,Barley dish
Barley,Whole Grain,195,39.7,14.2,4.8,22.1,Medium,No,Barley dish
Barley,Whole Grain,95,19.5,2.5,21.6,2.4,Medium,No,Barley dish
Barley,Whole Grain,456,2.4,13.9,13.7,25.9,Low,Yes,Barley dish
Barley,Whole Grain,472,23.3,12.8,16.9,28.2,High,No,Barley dish
Barley,Whole Grain,220,23.8,11.4,12.8,19.1,High,No,Barley dish
Barley,Whole Grain,390,52.4,6.3,30.0,26.4,Medium,No,Barley dish
Barley,Whole Grain,381,4.7,0.2,31.2,23.2,Medium,No,Barley dish
Barley,Whole Grain,195,63.7,1.2,37.8,25.6,Low,Yes,Barley dish
Barley,Whole Grain,197,31.4,3.0,34.9,42.1,High,No,Barley dish
Barley,Whole Grain,17,40.6,14.7,13.8,48.7,High,No,Barley dish
Barley,Whole Grain,56,53.9,0.9,26.1,22.6,High,No,Barley dish
Barley,Whole Grain,399,1.7,4.9,10.0,42.5,High,No,Barley dish
Barley,Whole Grain,356,23.1,0.5,39.9,17.1,High,No,Barley dish
Barley,Whole Grain,80,19.2,1.0,34.5,35.8,High,No,Barley dish
Barley,Whole Grain,24,41.9,9.6,11.9,36.0,High,No,Barley dish
Barley,Whole Grain,246,61.5,13.8,37.1,17.6,Medium,No,Barley dish
Barley,Whole Grain,70,39.2,5.5,28.5,20.0,Medium,No,Barley dish
Barley,Whole Grain,579,49.6,13.1,6.3,30.4,Low,Yes,Barley dish
Barley,Whole Grain,151,19.2,13.4,3.4,23.1,Low,Yes,Barley dish
Barley,Whole Grain,109,62.1,9.6,20.2,21.0,High,No,Barley dish
Barley,Whole Grain,35,36.6,12.0,24.7,48.4,High,No,Barley dish
Barley,Whole Grain,332,55.6,6.5,2.0,33.2,High,No,Barley dish
Barley,Whole Grain,424,54.9,10.3,16.1,38.9,Low,Yes,Barley dish
Barley,Whole Grain,134,1.7,14.8,14.8,11.2,Medium,No,Barley dish
Barley,Whole Grain,571,53.8,10.6,13.9,22.6,Medium,No,Barley dish
Barley,Whole Grain,93,16.5,6.8,30.6,32.3,Low,Yes,Barley dish
Barley,Whole Grain,35,36.2,3.9,7.7,7.4,Low,Yes,Barley dish
Barley,Whole Grain,97,7.9,11.4,25.1,42.5,Low,Yes,Barley dish
Barley,Whole Grain,92,2.8,10.3,26.5,34.9,High,No,Barley dish
Barley,Whole Grain,496,43.4,1.9,0.8,1.8,Low,Yes,Barley dish
Barley,Whole Grain,413,39.1,6.1,16.6,37.2,Low,Yes,Barley dish
Barley,Whole Grain,102,1.3,6.3,33.5,10.4,Low,Yes,Barley dish
Barley,Whole Grain,200,49.0,6.8,9.4,16.1,Medium,No,Barley dish
Quinoa,Whole Grain,50,18.3,8.0,32.8,1.0,Medium,No,Quinoa dish
Quinoa,Whole Grain,373,1.0,10.5,30.8,49.1,Low,Yes,Quinoa dish
Quinoa,Whole Grain,287,45.8,9.0,31.3,24.7,Medium,No,Quinoa dish
Quinoa,Whole Grain,126,8.6,10.8,33.3,23.4,Medium,No,Quinoa dish
Quinoa,Whole Grain,267,34.7,11.9,34.9,41.5,High,No,Quinoa dish
Quinoa,Whole Grain,586,31.7,7.5,24.3,6.6,Medium,No,Quinoa dish
Quinoa,Whole Grain,72,10.0,2.2,1.3,35.9,Low,Yes,Quinoa dish
Quinoa,Whole Grain,468,55.3,2.1,22.7,26.5,Medium,No,Quinoa dish
Quinoa,Whole Grain,499,10.6,2.7,32.7,7.1,Medium,No,Quinoa dish
Quinoa,Whole Grain,115,48.7,10.1,1.6,45.6,Medium,No,Quinoa dish
Quinoa,Whole Grain,393,10.4,8.3,18.7,4.9,Low,Yes,Quinoa dish
Quinoa,Whole Grain,501,30.3,4.3,8.6,24.8,High,No,Quinoa dish
Quinoa,Whole Grain,63,16.1,11.5,39.8,30.4,High,No,Quinoa dish
Quinoa,Whole Grain,259,35.7,3.2,6.4,49.9,Medium,No,Quinoa dish
Quinoa,Whole Grain,447,58.9,10.5,39.1,46.6,Medium,No,Quinoa dish
Quinoa,Whole Grain,134,43.6,8.2,22.8,41.3,High,No,Quinoa dish
Quinoa,Whole Grain,123,13.3,4.8,22.0,37.6,Low,Yes,Quinoa dish
Quinoa,Whole Grain,17,7.6,6.3,14.1,14.7,Low,Yes,Quinoa dish
Quinoa,Whole Grain,321,14.4,2.4,1.0,43.5,Low,Yes,Quinoa dish
Quinoa,Whole Grain,336,32.7,12.5,39.9,15.8,Medium,No,Quinoa dish
Quinoa,Whole Grain,402,54.4,10.0,16.0,21.4,Low,Yes,Quinoa dish
Quinoa,Whole Grain,78,64.8,12.7,16.1,44.0,High,No,Quinoa dish
Quinoa,Whole Grain,494,7.5,0.9,11.0,8.6,High,No,Quinoa dish
Quinoa,Whole Grain,277,14.7,8.1,10.2,21.7,High,No,Quinoa dish
Quinoa,Whole Grain,79,19.0,11.7,14.9,48.6,High,No,Quinoa dish
Quinoa,Whole Grain,379,44.7,2.7,8.0,17.6,Low,Yes,Quinoa dish
Quinoa,Whole Grain,140,47.4,8.3,22.6,23.4,Low,Yes,Quinoa dish
Quinoa,Whole Grain,527,27.6,2.6,3.1,22.8,Low,Yes,Quinoa dish
Quinoa,Whole Grain,248,22.8,11.0,37.6,33.6,Low,Yes,Quinoa dish
Quinoa,Whole Grain,408,19.7,2.5,32.5,1.4,High,No,Quinoa dish
Quinoa,Whole Grain,501,45.7,6.2,34.5,35.9,Low,Yes,Quinoa dish
Quinoa,Whole Grain,352,9.3,14.6,13.0,21.9,Low,Yes,Quinoa dish
Quinoa,Whole Grain,377,29.0,2.2,17.6,47.2,Low,Yes,Quinoa dish
Quinoa,Whole Grain,122,63.8,0.9,5.7,16.0,Medium,No,Quinoa dish
Quinoa,Whole Grain,455,52.7,0.8,5.7,45.9,High,No,Quinoa dish
Quinoa,Whole Grain,199,65.3,12.5,37.3,36.7,High,No,Quinoa dish
Quinoa,Whole Grain,457,31.8,12.6,13.8,3.2,Low,Yes,Quinoa dish
Quinoa,Whole Grain,42,37.5,10.1,20.7,40.8,Medium,No,Quinoa dish
Quinoa,Whole Grain,220,60.5,12.2,36.5,3.1,Medium,No,Quinoa dish
Quinoa,Whole Grain,484,56.3,5.8,14.0,3.6,Low,Yes,Quinoa dish
Quinoa,Whole Grain,477,63.7,12.5,12.6,7.3,Medium,No,Quinoa dish
Quinoa,Whole Grain,116,12.7,13.2,25.1,24.5,Medium,No,Quinoa dish
Quinoa,Whole Grain,588,37.8,12.1,16.7,25.0,Medium,No,Quinoa dish
Quinoa,Whole Grain,575,41.2,10.8,19.6,7.0,Medium,No,Quinoa dish
Quinoa,Whole Grain,75,56.9,8.9,7.2,8.2,Medium,No,Quinoa dish
Quinoa,Whole Grain,499,1.9,9.6,28.9,0.4,High,No,Quinoa dish
Quinoa,Whole Grain,221,36.2,6.8,22.7,21.1,High,No,Quinoa dish
Quinoa,Whole Grain,421,34.8,8.1,36.7,13.6,High,No,Quinoa dish
Quinoa,Whole Grain,382,56.2,3.4,26.5,49.6,Low,Yes,Quinoa dish
Quinoa,Whole Grain,479,57.3,10.2,29.7,24.7,Medium,No,Quinoa dish
Millets (Bajra),Whole Grain,128,6.0,13.6,24.3,15.9,High,No,Millets dish
Millets (Bajra),Whole Grain,489,6.1,5.6,10.2,34.5,Low,Yes,Millets dish
Millets (Bajra),Whole Grain,144,57.2,7.0,19.1,14.2,Medium,No,Millets dish
Millets (Bajra),Whole Grain,106,2.6,13.5,22.4,27.0,High,No,Millets dish
Millets (Bajra),Whole Grain,357,53.2,3.4,8.9,30.4,High,No,Millets dish
Millets (Bajra),Whole Grain,149,28.9,2.5,29.4,20.4,Medium,No,Millets dish
Millets (Bajra),Whole Grain,13,43.5,10.0,39.8,40.5,Medium,No,Millets dish
Millets (Bajra),Whole Grain,547,65.8,10.2,35.6,30.4,Low,Yes,Millets dish
Millets (Bajra),Whole Grain,442,0.6,8.6,37.4,42.5,Medium,No,Millets dish
Millets (Bajra),Whole Grain,315,41.1,11.3,10.1,37.1,High,No,Millets dish
Millets (Bajra),Whole Grain,69,45.5,12.6,32.3,33.0,High,No,Millets dish
Millets (Bajra),Whole Grain,460,25.7,0.5,2.2,26.1,High,No,Millets dish
Millets (Bajra),Whole Grain,172,46.5,4.0,29.6,41.8,Medium,No,Millets dish
Millets (Bajra),Whole Grain,141,28.0,12.0,3.8,24.2,High,No,Millets dish
Millets (Bajra),Whole Grain,406,3.2,9.6,15.8,17.8,High,No,Millets dish
Millets (Bajra),Whole Grain,218,30.9,8.4,23.4,42.6,High,No,Millets dish
Millets (Bajra),Whole Grain,12,9.3,13.3,37.3,1.0,High,No,Millets dish
Millets (Bajra),Whole Grain,379,4.4,7.3,28.6,17.6,High,No,Millets dish
Millets (Bajra),Whole Grain,490,52.3,12.6,24.6,18.0,Low,Yes,Millets dish
Millets (Bajra),Whole Grain,446,58.3,2.8,24.4,41.3,High,No,Millets dish
Millets (Bajra),Whole Grain,226,41.8,0.3,4.7,16.5,Medium,No,Millets dish
Millets (Bajra),Whole Grain,144,33.2,1.7,20.2,41.4,Low,Yes,Millets dish
Millets (Bajra),Whole Grain,590,21.2,14.8,25.0,6.7,Medium,No,Millets dish
Millets (Bajra),Whole Grain,206,55.9,5.8,6.8,16.1,Medium,No,Millets dish
Millets (Bajra),Whole Grain,600,15.8,1.7,18.7,13.0,Low,Yes,Millets dish
Millets (Bajra),Whole Grain,226,31.5,9.3,3.6,36.9,Low,Yes,Millets dish
Millets (Bajra),Whole Grain,311,19.5,13.0,10.0,46.9,Low,Yes,Millets dish
Millets (Bajra),Whole Grain,377,40.2,12.4,17.8,34.6,Low,Yes,Millets dish
Millets (Bajra),Whole Grain,43,19.3,4.0,29.2,21.8,Low,Yes,Millets dish
Millets (Bajra),Whole Grain,53,27.2,4.8,26.7,2.3,High,No,Millets dish
Millets (Bajra),Whole Grain,501,50.7,9.4,9.2,47.0,Medium,No,Millets dish
Millets (Bajra),Whole Grain,375,12.3,4.6,22.1,1.4,Low,Yes,Millets dish
Millets (Bajra),Whole Grain,526,48.1,11.2,20.1,46.3,High,No,Millets dish
Millets (Bajra),Whole Grain,368,26.5,4.2,38.4,37.4,Low,Yes,Millets dish
Millets (Bajra),Whole Grain,208,69.0,0.9,8.0,12.3,Low,Yes,Millets dish
Millets (Bajra),Whole Grain,194,22.5,11.2,19.4,24.0,High,No,Millets dish
Millets (Bajra),Whole Grain,398,27.0,1.2,28.1,23.3,Low,Yes,Millets dish
Millets (Bajra),Whole Grain,594,29.4,6.6,21.9,47.9,Medium,No,Millets dish
Millets (Bajra),Whole Grain,148,12.4,13.7,3.9,43.0,High,No,Millets dish
Millets (Bajra),Whole Grain,447,1.3,7.0,3.7,45.3,Medium,No,Millets dish
Millets (Bajra),Whole Grain,286,53.0,9.1,15.6,45.0,Low,Yes,Millets dish
Millets (Bajra),Whole Grain,264,29.9,4.9,16.0,31.4,High,No,Millets dish
Millets (Bajra),Whole Grain,104,10.8,7.7,8.0,27.1,Medium,No,Millets dish
Millets (Bajra),Whole Grain,11,39.3,9.2,27.0,43.6,Low,Yes,Millets dish
Millets (Bajra),Whole Grain,282,6.7,14.2,23.8,44.3,Medium,No,Millets dish
Millets (Bajra),Whole Grain,378,25.2,0.7,28.2,41.6,Low,Yes,Millets dish
Millets (Bajra),Whole Grain,555,0.5,3.2,29.4,32.5,Low,Yes,Millets dish
Millets (Bajra),Whole Grain,97,67.8,6.4,35.8,15.8,High,No,Millets dish
Millets (Bajra),Whole Grain,155,69.0,2.6,39.9,42.8,Medium,No,Millets dish
Millets (Bajra),Whole Grain,423,67.6,13.8,27.1,32.8,High,No,Millets dish
Lentils (Masoor Dal),Legumes,527,46.5,7.7,37.1,18.2,Medium,No,Lentils dish
Lentils (Masoor Dal),Legumes,33,35.3,12.4,28.8,44.4,Low,Yes,Lentils dish
Lentils (Masoor Dal),Legumes,287,48.5,10.6,19.3,43.7,Low,Yes,Lentils dish
Lentils (Masoor Dal),Legumes,496,7.2,7.3,4.9,1.8,Low,Yes,Lentils dish
Lentils (Masoor Dal),Legumes,119,19.3,12.8,3.4,46.6,Medium,No,Lentils dish
Lentils (Masoor Dal),Legumes,22,3.5,9.9,7.4,36.0,Medium,No,Lentils dish
Lentils (Masoor Dal),Legumes,44,33.7,8.4,21.0,28.2,Low,Yes,Lentils dish
Lentils (Masoor Dal),Legumes,526,11.3,14.0,3.4,47.6,Low,Yes,Lentils dish
Lentils (Masoor Dal),Legumes,449,25.6,6.0,15.1,42.4,Low,Yes,Lentils dish
Lentils (Masoor Dal),Legumes,435,27.1,9.7,12.1,49.6,Medium,No,Lentils dish
Lentils (Masoor Dal),Legumes,137,40.9,3.2,23.5,29.9,Medium,No,Lentils dish
Lentils (Masoor Dal),Legumes,581,60.8,11.0,14.7,18.9,Low,Yes,Lentils dish
Lentils (Masoor Dal),Legumes,535,24.8,14.8,6.6,8.8,High,No,Lentils dish
Lentils (Masoor Dal),Legumes,364,61.7,13.7,34.2,41.9,Medium,No,Lentils dish
